Title,DOI,State,Created,PubDate,URL
Why Is Nature Lagrangian?,10.5281/zenodo.18632291,done,2026-02-13,2026-02-13,https://zenodo.org/records/18632291
The Edge of Everything - Where Structure Becomes Matter,10.5281/zenodo.18625127,done,2026-02-12,2026-02-12,https://zenodo.org/records/18625127
Spiral Convergence Theory,10.5281/zenodo.18624807,done,2026-02-12,2026-02-12,https://zenodo.org/records/18624807
Deriving the Fine Structure Constant,10.5281/zenodo.18624752,done,2026-02-12,2026-02-12,https://zenodo.org/records/18624752
The Universe Has No External - Why ζ = φ⁻¹,10.5281/zenodo.18624607,done,2026-02-12,2026-02-12,https://zenodo.org/records/18624607
When the Universe Stops Dancing,10.5281/zenodo.18504626,done,2026-02-06,2026-02-06,https://zenodo.org/records/18504626
Quantum Mechanics Relocated,10.5281/zenodo.18430024,done,2026-01-30,2026-01-30,https://zenodo.org/records/18430024
Primary Coherence Theory: Why Reality Runs on Golden Geometry,10.5281/zenodo.18427928,done,2026-01-30,2026-01-30,https://zenodo.org/records/18427928
φ Is the Eigenvalue of Self-Reference,10.5281/zenodo.18421638,done,2026-01-29,2026-01-29,https://zenodo.org/records/18421638
The φ-Eigengeometry of Prime Pairs,10.5281/zenodo.18421418,done,2026-01-29,2026-01-29,https://zenodo.org/records/18421418
The Mother of Time,10.5281/zenodo.18402430,done,2026-01-28,2026-01-28,https://zenodo.org/records/18402430
Self Reference Has a Signature - The golden ratio appears wherever a system looks at itself,10.5281/zenodo.18380533,done,2026-01-26,2026-01-26,https://zenodo.org/records/18380533
"Coherence as Primary: An Integrated Framework for Physics, Consciousness, and System Design",10.5281/zenodo.18370223,done,2026-01-25,2026-01-25,https://zenodo.org/records/18370223
A Golden Ratio Scaling Ansatz for the Hubble Tension,10.5281/zenodo.18354655,done,2026-01-23,2026-01-23,https://zenodo.org/records/18354655
Coherence is Light,10.5281/zenodo.18348623,done,2026-01-23,2026-01-23,https://zenodo.org/records/18348623
The Cost of Showing Up,10.5281/zenodo.18315847,done,2026-01-20,2026-01-20,https://zenodo.org/records/18315847
